date,open,high,low,close,volume
2007-11-13,3.8861,3.9929,3.8807,3.9834,189926000
2007-11-14,4.0103,4.0478,3.8981,3.9161,168548000
2007-11-15,3.962,3.9769,3.8258,3.8831,156630000
2007-11-16,3.8412,3.94,3.8223,3.9206,142282000
2007-11-19,3.932,3.9779,3.8876,3.9495,172996000
2007-11-20,3.9834,4.0901,3.9061,4.0098,232200000
2007-11-21,3.9525,4.0333,3.9231,3.9784,133566000
2007-11-23,3.9959,4.0627,3.9395,4.0617,55618000
2007-11-26,4.1051,4.2143,4.0473,4.0554,172210000
2007-11-27,4.136,4.2722,4.1006,4.2692,172684000
2007-11-28,4.367,4.5176,4.3271,4.5042,228068000
2007-11-29,4.4837,4.5625,4.4233,4.4468,139542000
2007-11-30,4.5171,4.5431,4.4051,4.5171,137632000
2007-12-03,4.4907,4.6014,4.4777,4.5346,120010000
2007-12-04,4.4912,4.7166,4.4912,4.7092,146758000
2007-12-05,4.7381,4.7381,4.588,4.6483,132172000
2007-12-06,4.6528,4.7386,4.6303,4.6992,109454000
2007-12-07,4.7166,4.7226,4.6343,4.7042,78696000
2007-12-10,4.7042,4.7062,4.6039,4.6398,103612000
2007-12-11,4.6438,4.7855,4.5266,4.5266,205392000
2007-12-12,4.6308,4.6762,4.4553,4.553,144562000
2007-12-13,4.5416,4.6388,4.5206,4.6089,120926000
2007-12-14,4.5276,4.551,4.4358,4.4433,120046000
2007-12-17,4.4398,4.4423,4.2393,4.2443,153954000
2007-12-18,4.2812,4.3625,4.1829,4.3341,145322000
2007-12-19,4.3366,4.4867,4.3311,4.4583,152324000
2007-12-20,4.4962,4.5266,4.4438,4.5181,117596000
2007-12-21,4.558,4.6029,4.5086,4.552,132098000
2007-12-24,4.5416,4.567,4.5042,4.5396,40342000
2007-12-26,4.563,4.6857,4.5141,4.6313,108844000
2007-12-27,4.6224,4.7531,4.6139,4.7012,142274000
2007-12-28,4.7521,4.7835,4.5939,4.7112,151758000
2007-12-31,4.6792,4.7072,4.6114,4.6209,115104000
2008-01-02,4.756,4.8598,4.7236,4.8009,277174000
2008-01-03,4.7915,4.8508,4.7146,4.7491,182450000
2008-01-04,4.6518,4.6588,4.4144,4.4288,205400000
2008-01-07,4.4204,4.5176,4.2632,4.4303,199632000
2008-01-08,4.367,4.5805,4.3361,4.3834,245666000
2008-01-09,4.3675,4.3795,4.0024,4.2508,328218000
2008-01-10,4.1889,4.2882,4.1385,4.2029,232198000
2008-01-11,4.1914,4.1914,4.0049,4.0443,212486000
2008-01-14,4.0991,4.156,3.934,4.1335,181122000
2008-01-15,4.0146,4.0408,3.9161,4.0024,193118000
2008-01-16,3.9694,4.1081,3.9126,4.0078,248140000
2008-01-17,3.9984,4.1026,3.9674,3.9964,198018000
2008-01-18,3.9869,4.1056,3.8926,3.9784,267286000
2008-01-22,3.6702,3.9764,3.6023,3.9146,256444000
2008-01-23,3.7709,3.8308,3.4891,3.6896,408114000
2008-01-24,3.7175,3.8846,3.7006,3.8742,197732000
2008-01-25,3.925,4.0617,3.8073,3.8707,200552000
2008-01-28,3.8363,3.8607,3.7081,3.7819,170106000
2008-01-29,3.7794,3.7859,3.5943,3.6886,199160000
2008-01-30,3.6682,3.8617,3.6537,3.7016,505974000
